Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.37572214708479,1.26716818922992,1.65155392186669,0.941470920725337,2.73512022241023,2.24406532463878,3.45404183614122,3.72741530093519,1.4604236757386,-3.76457817791677,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,2.08260842829317,2.47644392123686,2.41976363780752,1.61295932765668
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.0999995034959,9.90000013022203,9.43891634238625,10.2083000110732,9.25380132627771,27.9615380685244,34.4662093637953,25.4632159061216,10.5914372943933,9.36907477711533,4.78924279245965,-1.57299762108386,2.20293902267818,5.84341576237273,2.79758543403612,1.0495463680441,-3.06359845351251,0.153614646686307,1.50040170699388,2.21870427670238
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.14924301720671,2.62568405842836,2.70456161502959,-1.26472077068983,0.882839929779749,3.39535559727943,2.51684911910279,1.44654463506183,-2.32396697254454,-4.17526040073236,1.53877740677106,0.6128974521461,3.0868791768835,-2.95209560730262,0.736540805302539,0.597576299988447,0.446254967609775,0.0666644634030007,1.56575993568239,1.79925562139633
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.30007005600883,2.49094810829847,3.3485506679412,6.29644197869368,6.98096059429825,6.76899787107483,6.46700012199585,8.29396044759683,6.24501077496258,2.53988593585052,4.33429917283131,1.98351501159991,3.72810843046017,5.41683981012071,4.35039085252969,2.86304730414378,3.47351657476945,3.8117061903064,1.95718329709366,1.81956900625906
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.2932947184604,5.07728777597312,3.83312394005608,4.73956739916446,5.2395329104527,6.53594494052352,6.67190498148148,7.0585993565727,6.01378975923306,5.04512479417738,5.57180227396866,6.46438388047517,6.52143507837333,6.01361036536019,6.06105935903958,6.55263987869203,7.1135024597439,7.28418409195113,7.86370889257542,8.15268494677524
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.44718962322422,-2.36546422235364,0.787401574803141,2.17548076923077,1.41159863545465,3.95545760352627,5.90270029011381,2.2020861869139,0.701030927835049,-5.07780507780508,-2.28645383951682,-0.673289183222963,-0.455606178464279,-1.40656396517079,-0.124547101449281,2.44870196122888,2.47869868319133,0.475110679192298,-0.580333154218167,-0.0961355529131964
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.80000344007456,4.72530599387507,5.04526748002185,7.04319255874692,11.4497431053961,9.40000152357688,9.99999481247369,8.60000653624813,10.1999994395436,0.199995310014472,7.79826682269731,5.37870744981015,1.68713553642841,1.00347084085645,1.72638485417005,-3.82957055828382,-2.52644643552361,2.53218350023035,3.14919759374963,1.22209662862558
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.71667711251564,1.09961615969796,1.70688915887587,1.03795305343826,3.57119289125183,2.32173738004792,2.55235376695013,3.67691824085243,0.446916545344948,-2.02072581635507,2.86428532684397,1.69449744610768,0.739229905081658,0.459228050116039,1.57852322952448,2.0327889725624,1.47830076884792,1.90386213925837,1.48763483605245,1.40445520080598
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.0165280135448,4.68120906195541,4.74167623421353,9.3335525594651,4.78720737881598,1.94221201683888,4.82402627874237,0.505864446235108,3.49204935192195,0.219496449322151,3.0018036588508,1.91786533249947,2.41767232562897,1.30212494008629,3.63535998738269,2.84964236798051,0.0850811970554588,1.86649911295092,2.08990965494719,0.26655293741338
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.85771420543269,5.33313570603937,4.64303087074482,3.44357677591658,4.42968455385082,1.71316456361184,3.94373882815798,5.98634932177609,4.89657708429647,2.31929213912838,2.11406472648392,2.96375291904201,4.811223315688,7.19143372144946,6.35767909791932,1.77815106030278,3.33967342629693,5.67155546944753,6.69725946087986,6.86568733525598
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.31715557653585,7.2224360086321,-1.47779037455827,3.41070620413235,2.32126647646751,1.67420714931701,5.54386592809534,2.84589011430658,1.52789390961543,-5.28417714947457,-2.09411353414293,-3.33949441020565,-4.8345401709793,-2.51115443098975,..,..,..,..,..,..
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.93302386169421,8.3489544828285,10.992281843751,7.82330236149748,6.00874223613263,7.287249352187,6.99973809500906,18.3608540555453,4.79946061155896,6.74833374849808,11.9458959983757,7.98261704055791,5.11840085800534,2.11997263298215,5.77649568013724,6.64223210535566,8.1270335383894,4.65183467529606,3.02764071925384,..
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.50780755336397,1.68380093902091,2.4855648471145,2.71134070709702,4.17329431803543,4.42143476697063,4.79700917087203,4.56438275234794,6.14849719501387,3.35700125894111,4.12671936920815,5.20409594656597,5.12227466098376,6.79601170559745,5.46056715368503,4.85718801458208,4.26392185377313,4.19520701912501,4.22362276931993,2.21670710143222
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.50000050587647,4.39999928046061,5.30000063322893,3.9999997109357,6.09996679830309,8.75925684646388,5.41727019232148,5.85558507859649,5.42672647605687,-3.00275274835376,0.767250351348665,0.908241482463865,-0.699614302351236,2.35103569521404,1.14803202141205,3.08822714327496,3.14565228865749,2.11846162295903,3.71625074935496,2.58262786645444
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.98769585438754,0.250573866722732,6.06953086765014,4.62589479191556,2.70582173663567,4.55664565732843,8.36387106895727,8.27676379346968,6.24543736290877,-7.65231020253476,8.56363174773267,6.04831636706808,4.45616721309787,11.3434242527752,4.1492898931352,-1.69796561588223,4.30373745681474,2.90400634981967,4.47882348357265,2.96613593278983
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.38794944267383,1.38989640325894,3.05346185795254,1.14082899810009,5.75996463871775,3.20213137990235,3.96198872184989,6.06987060771837,5.09419544732717,-0.125811999414864,7.52822583005563,3.97442540583816,1.92115031836302,3.00484630505706,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.31722399870793,1.13658557200958
British Virgin Islands,VGB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.84942185782728,2.744040517652,3.87209696704298,2.90395547653115,0.504318252687327,0.38750720823208,4.39771967752176,0.154581811742773,-1.93971463784671,-1.76453554132601,2.59896574643226,3.74531835205994,0.912841670964411,-2.12602851740175,-2.50835256222284,-0.392383487933557,-2.47791797864822,1.32860255161715,0.0522377907767719,3.86910980288788
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.78204232851405,3.81724003293755,5.95303387685426,5.15184150505048,6.44185968615297,7.15354183406107,6.80216596889672,6.55708232064536,6.08562708193034,-3.42357082039449,0.569823564525194,2.35098045583469,0.360583188287578,0.318735761322571,1.89454714241928,3.98952626923408,3.81153782976097,3.50660477401181,3.08418980095941,3.3716155456754
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.8884738898946,6.61340574578617,4.3529638267236,7.80249389169157,4.47845213450258,8.66187323009638,6.25316468812014,4.11137901680618,5.79999174146441,2.96195085848565,8.44628157682938,6.62256261237535,6.45267238090545,5.79260559190561,4.32684561321506,3.91255719996406,5.95869171935315,6.15710463017187,6.81961748015405,5.68859898588265
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.856864058424151,2.05580710835243,4.44651941224797,-1.22372796023444,4.83365776809453,0.900000000901912,5.41380714491444,3.45195248952621,4.8617129950775,3.81274693652152,5.12416330338039,4.03260249625296,4.44670822214543,4.9241952612883,4.24065164368079,-3.9000030859375,-0.600020000546493,0.500009998779461,1.60993308234522,1.84247667669986
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.2848688321225,2.23165449284959,5.25089124613551,4.17625930175211,10.1970726091433,6.91245798811823,7.98375044704545,15.17068796854,6.65052052259701,-1.27042596756841,1.46679009706938,3.96888634471986,1.08191827877127,0.802797600574223,0.611212666207877,1.00686370684559,4.70579150927118,3.70203918776542,4.53116168434889,5.66775246034304
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.7119948019697,7.44660697564721,6.57893950279684,8.50589555707633,10.340528776847,13.2500869136436,10.7710836701771,10.2125739126309,6.69157747471078,0.0866969592705971,5.96307857538696,7.0695699458918,7.31334550530008,7.35666514887974,7.14257110074294,7.03608717929632,7.03096677600881,6.82908244842493,7.46916920701493,7.05410693233324
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.55337436416127,4.36808424217001,4.23720367718512,4.56719525637388,6.78095592377316,2.02066230714679,3.45766879254916,4.90220173244047,3.48880091903692,2.19866410193433,3.4225076411544,4.12927716056967,4.54326501566736,5.40426570971735,5.88405932668046,5.6514637436283,4.64848155096477,3.54908731821561,4.06240531944661,4.01721604289253
